customer_id,customer_name,country,signup_date,segment
1,Customer 01,UK,2024-08-10,Consumer
2,Customer 02,UK,2024-02-25,Consumer
3,Customer 03,Russia,2024-07-13,Education
4,Customer 04,Kazakhstan,2023-05-24,Consumer
5,Customer 05,USA,2023-09-27,Consumer
6,Customer 06,Kazakhstan,2024-08-29,Consumer
7,Customer 07,Russia,2023-07-04,Education
8,Customer 08,Kazakhstan,2023-05-08,Consumer
9,Customer 09,UK,2023-02-06,Education
10,Customer 10,USA,2023-09-30,Consumer
11,Customer 11,France,2023-04-09,Business
12,Customer 12,Poland,2024-11-26,Consumer
13,Customer 13,UK,2023-09-27,Business
14,Customer 14,Germany,2024-06-26,Consumer
15,Customer 15,Poland,2023-12-24,Consumer
16,Customer 16,Kazakhstan,2023-11-09,Consumer
17,Customer 17,Germany,2023-12-16,Education
18,Customer 18,Germany,2024-10-19,Education
19,Customer 19,France,2023-06-02,Consumer
20,Customer 20,France,2024-09-13,Education
21,Customer 21,Germany,2023-02-28,Education
22,Customer 22,Poland,2023-11-28,Education
23,Customer 23,Russia,2024-09-22,Consumer
24,Customer 24,UK,2024-04-13,Business
25,Customer 25,Kazakhstan,2024-04-08,Consumer
26,Customer 26,France,2024-02-22,Business
27,Customer 27,UK,2023-11-25,Consumer
28,Customer 28,Germany,2023-12-05,Consumer
29,Customer 29,UK,2024-03-04,Education
30,Customer 30,UK,2023-02-08,Consumer
31,Customer 31,USA,2023-02-21,Consumer
32,Customer 32,USA,2024-03-27,Consumer
33,Customer 33,France,2023-11-10,Business
34,Customer 34,UK,2023-05-12,Consumer
35,Customer 35,UK,2024-01-05,Consumer
36,Customer 36,Russia,2024-10-31,Business
37,Customer 37,France,2024-03-03,Consumer
38,Customer 38,Russia,2023-05-02,Education
39,Customer 39,Germany,2024-04-29,Education
40,Customer 40,France,2023-10-24,Education
