order_id,order_date,customer_id,country,category,product,quantity,unit_price,discount
1001,2025-05-07,,GERMANY,Monitors,View 24,6,,
1002,2025-07-24,28,Germany,Accessories,Webcam HD,3,59.99,0.1
1003,2025-02-16,33,France,Phones,Pixela 8,1,799.0,0.05
1004,2025-12-15,11, France,Laptops,ProBook 15,4,899.0,0.2
1005,2025-08-28,25,Kazakhstan,Laptops,EduBook 13,5,549.0,0.1
1006,2025-02-28,1,UK,Accessories,Webcam HD,6,59.99,0.15
1007,2025-08-11,8, kazakhstan ,Accessories,USB-C Cable,2,9.99,0.0
1008,2025-04-02,17,Germany,Monitors,View 24,5,179.0,0.1
1009,2025-04-12,33,France,Laptops,GamerX 17,2,1799.0,0.1
1010,2025-09-29,35,uk ,Accessories,Mechanical Keyboard,1,89.99,0.2
1011,2025-07-05,2,UK,Accessories,Laptop Stand,3,39.99,0.0
1012,2025-02-10,16,Kazakhstan,Phones,Galaxa S,1,999.0,
1013,2025-03-06,35,uk ,Monitors,View 24,2,179.0,0.2
1014,2025-09-28,11,France,Monitors,View 32 4K,5,549.0,0.0
1015,2025-12-20,35,UK,Monitors,View 24,2,179.0,0.2
1016,2025-09-22,24,uk ,Accessories,Laptop Stand,4,39.99,0.05
1017,2025-06-23,15,Poland,Laptops,ProBook 15,1,899.0,0.0
1018,2025-12-29,1,UK,Phones,Pixela 8,6,,0.0
1019,2025-06-19,5,usa,Laptops,ProBook 15,1,899.0,0.0
1020,2025-10-04,32,USA,Phones,Lumino Lite,2,349.0,0.0
1021,2025-07-28,31,USA,Monitors,View 24,2,179.0,0.2
1022,2025-08-05,28,GERMANY,Laptops,UltraBook 14,4,1199.0,0.0
1023,2025-12-01,4,Kazakhstan,Monitors,View 32 4K,6,549.0,
1024,2025-06-23,26,France,Laptops,UltraBook 14,1,1199.0,0.15
1025,2025-08-18,13,uk ,Phones,Pixela 8,2,799.0,0.1
1026,2025-05-08,18,Germany,Monitors,View 24,1,179.0,0.05
1027,2025-11-30,7,Russia,Monitors,View 32 4K,5,549.0,0.0
1028,2025-07-28,16, kazakhstan ,Laptops,UltraBook 14,4,1199.0,0.0
1029,2025-03-26,26,France,Monitors,View 24,4,179.0,0.0
1030,2025-08-21,,Germany,Laptops,EduBook 13,3,549.0,0.2
1031,2025-09-07,36,Russia,Monitors,View 32 4K,2,549.0,0.15
1032,2025-10-24,14,Germany,Phones,Lumino Lite,6,349.0,0.0
1033,2025-10-27,4,Kazakhstan,Laptops,GamerX 17,4,1799.0,0.0
1034,2025-04-06,33, France,Phones,Galaxa S,1,999.0,
1035,2025-10-19,26,France,Laptops,ProBook 15,2,,0.0
1036,2025-10-26,27,UK,Laptops,UltraBook 14,5,1199.0,0.15
1037,2025-06-10,14,GERMANY,Accessories,USB-C Cable,2,9.99,0.15
1038,2025-11-27,9,UK,Accessories,Laptop Stand,3,39.99,0.15
1039,2025-08-23,5,USA,Monitors,View 27 QHD,5,329.0,0.0
1040,2025-09-17,35,uk ,Laptops,UltraBook 14,3,1199.0,0.0
1041,2025-07-09,5,USA,Phones,Lumino Lite,3,349.0,0.0
1042,2025-06-04,35,UK,Phones,Nokio Classic,5,199.0,0.15
1043,2025-05-16,7,Russia,Laptops,GamerX 17,1,1799.0,0.0
1044,2025-11-06,18,Germany,Laptops,ProBook 15,2,899.0,0.0
1045,2025-09-08,17,Germany,Accessories,Mechanical Keyboard,3,89.99,
1046,2025-05-22,28,GERMANY,Laptops,UltraBook 14,1,1199.0,0.2
1047,2025-05-15,9,UK,Laptops,GamerX 17,2,1799.0,0.15
1048,2025-01-05,28,Germany,Monitors,View 32 4K,1,549.0,0.1
1049,2025-07-09,35,uk ,Laptops,ProBook 15,5,899.0,0.0
1050,2025-06-07,9,UK,Phones,Nokio Classic,3,199.0,0.0
1051,2025-05-08,14,Germany,Laptops,GamerX 17,6,1799.0,0.15
1052,2025-07-28,36,Russia,Laptops,GamerX 17,5,,0.2
1053,2025-04-01,11,France,Phones,Pixela 8,4,799.0,0.2
1054,2025-07-30,22,Poland,Laptops,ProBook 15,6,899.0,0.2
1055,2025-12-26,11, France,Phones,Lumino Lite,1,349.0,0.2
1056,2025-04-13,31,USA,Monitors,View 24,4,179.0,
1057,2025-01-13,15,Poland,Accessories,USB-C Cable,6,9.99,0.0
1058,2025-02-05,22,Poland,Phones,Nokio Classic,3,199.0,0.0
1059,2025-10-02,,France,Accessories,Webcam HD,3,59.99,0.15
1060,2025-10-25,17,Germany,Laptops,UltraBook 14,3,1199.0,0.0
1061,2025-06-26,39,GERMANY,Laptops,UltraBook 14,6,1199.0,0.05
1062,2025-03-01,39,Germany,Accessories,Laptop Stand,4,39.99,0.1
1063,2025-08-12,3,Russia,Phones,Lumino Lite,1,349.0,0.15
1064,2025-12-07,28,GERMANY,Phones,Lumino Lite,3,349.0,0.0
1065,2025-06-08,20,France,Accessories,Wireless Mouse,6,24.99,0.1
1066,2025-06-01,26,France,Monitors,View 27 QHD,5,329.0,0.15
1067,2025-07-14,27,uk ,Phones,Pixela 8,6,799.0,
1068,2025-01-01,26,France,Phones,Lumino Lite,3,349.0,0.1
1069,2025-10-24,28,Germany,Accessories,Mechanical Keyboard,5,,0.2
1070,2025-12-12,29,uk ,Accessories,Laptop Stand,2,39.99,0.05
